cluster,intent,query_rows,clicks,impressions,ctr,weighted_position
Airport and railway stations,Distance-only,14,26,2366,0.01098901098901099,4.308203719357566
Airport and railway stations,Other informational,3,6,480,0.0125,5.239229166666666
Airport and railway stations,Direct commercial,1,1,54,0.018518518518518517,10.59
Airport to Kashi Vishwanath,Distance-only,13,26,2791,0.009315657470440702,4.161096381225367
Airport to Kashi Vishwanath,Other informational,6,11,1070,0.010280373831775701,4.564859813084111
Airport to Kashi Vishwanath,Direct commercial,1,3,120,0.025,3.63
Ayodhya,Distance-only,21,23,2042,0.011263467189030362,8.466141038197845
Ayodhya,Direct commercial,6,8,99,0.08080808080808081,3.9696969696969697
Ayodhya,Other informational,2,3,20,0.15,3.098
Bike rental,Direct commercial,61,337,7589,0.04440637765186454,4.640919752273027
Gaya or Bodhgaya,Distance-only,5,3,2120,0.0014150943396226414,8.497075471698112
Gaya or Bodhgaya,Other informational,2,3,67,0.04477611940298507,9.613582089552239
Local sightseeing,Other informational,3,8,114,0.07017543859649122,21.970175438596492
Local sightseeing,Direct commercial,5,12,97,0.12371134020618557,7.352474226804124
Nepal,Distance-only,8,17,1548,0.010981912144702842,2.684567183462532
Nepal,Other informational,1,1,1,1.0,5.0
Urbania,Other informational,4,6,1142,0.005253940455341506,1.018274956217163
Vindhyachal,Distance-only,59,122,12057,0.010118603300986979,5.236604462138176
Vindhyachal,Other informational,17,30,863,0.03476245654692932,7.108308227114716
Vindhyachal,Direct commercial,11,21,425,0.04941176470588235,12.813882352941176
