Date,Clicks,Impressions,CTR,Position
2026-01-02,155,19909,0.78%,5.4
2026-01-03,173,19877,0.87%,5.3
2026-01-04,167,19052,0.88%,5.5
2026-01-05,137,17790,0.77%,5.7
2026-01-06,134,17090,0.78%,5.6
2026-01-07,146,17628,0.83%,6.3
2026-01-08,140,18928,0.74%,6.2
2026-01-09,173,19843,0.87%,6.2
2026-01-10,194,23734,0.82%,5.8
2026-01-11,212,23970,0.88%,5.9
2026-01-12,202,23546,0.86%,6.1
2026-01-13,234,25273,0.93%,6.3
2026-01-14,192,23448,0.82%,6.2
2026-01-15,209,22562,0.93%,6.1
2026-01-16,194,23470,0.83%,6.1
2026-01-17,220,27307,0.81%,5.8
2026-01-18,209,25489,0.82%,5.7
2026-01-19,188,23880,0.79%,6.1
2026-01-20,205,23140,0.89%,5.7
2026-01-21,180,22884,0.79%,5.9
2026-01-22,215,24368,0.88%,6.2
2026-01-23,250,27550,0.91%,5.8
2026-01-24,326,33497,0.97%,5.3
2026-01-25,247,31122,0.79%,5.2
2026-01-26,193,26444,0.73%,5.6
2026-01-27,199,23382,0.85%,6
2026-01-28,207,22035,0.94%,5.9
2026-01-29,231,23610,0.98%,5.9
2026-01-30,236,24752,0.95%,6
2026-01-31,220,26011,0.85%,5.8
2026-02-01,212,26476,0.8%,6.1
2026-02-02,206,23697,0.87%,6
2026-02-03,197,21652,0.91%,5.6
2026-02-04,185,21064,0.88%,5.9
2026-02-05,200,21986,0.91%,6.2
2026-02-06,186,22969,0.81%,6.3
2026-02-07,214,24712,0.87%,5.6
2026-02-08,222,23664,0.94%,5.8
2026-02-09,210,24103,0.87%,5.7
2026-02-10,223,22655,0.98%,5.7
2026-02-11,243,21816,1.11%,6
2026-02-12,208,22435,0.93%,6.1
2026-02-13,257,25436,1.01%,5.8
2026-02-14,276,32818,0.84%,6.2
2026-02-15,244,28673,0.85%,6.1
2026-02-16,189,23788,0.79%,5.8
2026-02-17,190,23108,0.82%,5.6
2026-02-18,191,22948,0.83%,5.7
2026-02-19,189,21594,0.88%,6
2026-02-20,213,23656,0.9%,5.6
2026-02-21,232,25410,0.91%,5.5
2026-02-22,225,22839,0.99%,5.6
2026-02-23,206,21507,0.96%,5.9
2026-02-24,208,21231,0.98%,6
2026-02-25,211,22372,0.94%,5.8
2026-02-26,195,23868,0.82%,6.1
2026-02-27,240,25505,0.94%,6
2026-02-28,166,22382,0.74%,5.7
2026-03-01,147,19329,0.76%,5.9
2026-03-02,145,19445,0.75%,5.9
2026-03-03,137,18646,0.73%,6.1
2026-03-04,131,19648,0.67%,5.8
2026-03-05,181,21971,0.82%,5.9
2026-03-06,228,21534,1.06%,5.5
2026-03-07,209,23335,0.9%,5.9
2026-03-08,155,18718,0.83%,5.7
2026-03-09,188,21875,0.86%,5.9
2026-03-10,171,21567,0.79%,5.7
2026-03-11,204,22453,0.91%,6
2026-03-12,222,20741,1.07%,5.6
2026-03-13,212,21756,0.97%,5.6
2026-03-14,285,26694,1.07%,5.5
2026-03-15,229,24097,0.95%,5.7
2026-03-16,213,22348,0.95%,6
2026-03-17,205,21403,0.96%,5.8
2026-03-18,197,22237,0.89%,6.1
2026-03-19,240,24168,0.99%,5.9
2026-03-20,224,22566,0.99%,5.6
2026-03-21,213,25051,0.85%,5.6
2026-03-22,188,22678,0.83%,5.7
2026-03-23,167,21252,0.79%,5.9
2026-03-24,172,21870,0.79%,6.1
2026-03-25,183,20179,0.91%,6.2
2026-03-26,168,20577,0.82%,6.3
2026-03-27,180,23438,0.77%,6.5
2026-03-28,213,24636,0.86%,6.4
2026-03-29,167,23105,0.72%,6.4
2026-03-30,170,22202,0.77%,6.6
2026-03-31,164,21007,0.78%,6.5
2026-04-01,154,20160,0.76%,6.6
