query,intent,clicks,impressions,ctr,position,mapped_page,match_where
scooty on rent in varanasi,sales,44,779,5.6%,3.5,/bike-rentals-varanasi,body
scooty rent in varanasi,sales,46,650,7.1%,3.3,/bike-rentals-varanasi,all terms on page
bike rent in varanasi,sales,32,525,6.1%,4.5,/bike-rentals-varanasi,slug (all terms)
bike on rent varanasi,sales,17,486,3.5%,6.5,/bike-rentals-varanasi,slug (all terms)
taxi service in varanasi,sales,2,401,0.5%,18.0,/en/city/varanasi/taxi/24-7-taxi-varanasi,title
bike rent varanasi,sales,19,378,5%,4.9,/bike-rentals-varanasi,slug (all terms)
bike rental in varanasi,sales,23,317,7.3%,4.2,/bike-rentals-varanasi,slug (all terms)
varanasi to vindhyachal taxi fare,sales,3,303,1%,12.3,/en/city/vindhyachal/taxi/varanasi-to-vindhyachal-taxi,body
rental scooty in varanasi,sales,11,275,4%,3.4,/bike-rentals-varanasi,body
bike on rent in varanasi,sales,18,263,6.8%,5.3,/bike-rentals-varanasi,slug (all terms)
rental bike in varanasi,sales,11,249,4.4%,3.8,/bike-rentals-varanasi,slug (all terms)
bike on rent near me,sales,2,249,0.8%,9.1,/bike-rentals-varanasi,all terms on page
kasi free tour 2026 tamil nadu,sales,15,242,6.2%,4.2,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,all terms on page
bike rental varanasi,sales,11,225,4.9%,6.2,/bike-rentals-varanasi,slug (all terms)
scooty rental in varanasi,sales,15,213,7%,3.4,/bike-rentals-varanasi,title
bike rentals varanasi,sales,4,203,2%,4.0,/bike-rentals-varanasi,slug
rent scooty in varanasi,sales,9,199,4.5%,3.0,/bike-rentals-varanasi,all terms on page
rent bike in varanasi,sales,8,199,4%,3.4,/bike-rentals-varanasi,slug (all terms)
rental bike varanasi,sales,4,190,2.1%,3.7,/bike-rentals-varanasi,slug (all terms)
varanasi scooty rent,sales,6,187,3.2%,3.3,/bike-rentals-varanasi,body
varanasi to sarnath auto fare,sales,2,184,1.1%,7.1,/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-distance,all terms on page
varanasi boat ride price,sales,2,169,1.2%,10.6,/en/morning-boat-ride-varanasi-price,title
bike rentals in varanasi,sales,12,168,7.1%,4.1,/bike-rentals-varanasi,slug (all terms)
taxi 690,sales,4,146,2.7%,5.2,/en/city/varanasi/taxi/varanasi-airport-to-dashashwamedh-distance,title
sarnath museum tickets,sales,2,133,1.5%,8.4,/en/sarnath-attractions-guide,all terms on page
varanasi bike rent,sales,8,132,6.1%,4.6,/bike-rentals-varanasi,slug (all terms)
varanasi bike rental,sales,8,131,6.1%,3.8,/bike-rentals-varanasi,slug (all terms)
scooty rental varanasi,sales,6,127,4.7%,3.2,/bike-rentals-varanasi,all terms on page
scooty rental near me,sales,2,122,1.6%,9.0,/bike-rentals-varanasi,all terms on page
varanasi boat ride cost,sales,2,119,1.7%,14.0,/en/boat-ride-varanasi,all terms on page
varanasi scooty rent price,sales,4,105,3.8%,2.0,/bike-rentals-varanasi,all terms on page
vindhyachal dharamshala price per day,sales,3,79,3.8%,6.0,/en/services/where-to-stay-in-vindhyachal,all terms on page
banaras bike rent,sales,3,78,3.8%,3.9,/bike-rentals-varanasi,slug (all terms)
varanasi rental bike,sales,8,77,10.4%,3.2,/bike-rentals-varanasi,slug (all terms)
sarnath ticket price,sales,3,75,4%,3.9,/en/sarnath-attractions-guide,body
bike rent in varanasi near railway station,sales,9,72,12.5%,3.5,/bike-rentals-varanasi,all terms on page
scooty rent varanasi,sales,7,69,10.1%,3.4,/bike-rentals-varanasi,all terms on page
varanasi bike rental price,sales,5,67,7.5%,3.1,/bike-rentals-varanasi,all terms on page
bike for rent in varanasi,sales,3,54,5.6%,4.3,/bike-rentals-varanasi,slug (all terms)
dharamshala near vindhyachal temple,sales,6,51,11.8%,7.1,/en/services/where-to-stay-in-vindhyachal,all terms on page
rent a bike in varanasi,sales,3,49,6.1%,4.2,/bike-rentals-varanasi,slug (all terms)
scooty on rent varanasi,sales,4,48,8.3%,3.1,/bike-rentals-varanasi,body
scooty for rent in varanasi,sales,3,48,6.3%,3.1,/bike-rentals-varanasi,all terms on page
kashi taxi,sales,9,47,19.1%,2.6,/banaras-tour-package,title
boating price in varanasi,sales,3,46,6.5%,6.9,/en/morning-boat-ride-varanasi-price,all terms on page
sarnath temple ticket price,sales,3,44,6.8%,3.0,/en/sarnath-buddhist-temple-guide,all terms on page
varanasi local sightseeing package by car,sales,4,41,9.8%,6.2,/en/city/varanasi/sightseeing/varanasi-local-sightseeing-package,all terms on page
two wheeler on rent in varanasi,sales,3,40,7.5%,3.3,/bike-rentals-varanasi,all terms on page
assi ghat boat ride price,sales,3,40,7.5%,6.1,/en/city/varanasi/sightseeing/dashashwamedh-ghat-boat-ride-ganga-aarti-guide,all terms on page
scooty on rent in banaras,sales,4,39,10.3%,3.1,/bike-rentals-varanasi,all terms on page
varanasi scooty rental,sales,6,37,16.2%,3.2,/bike-rentals-varanasi,body
varanasi to ayodhya traveller price,sales,3,37,8.1%,3.1,/en/varanasi-to-ayodhya-tempo-traveller,body
sarnath temple varanasi ticket price,sales,3,33,9.1%,2.4,/en/city/varanasi/taxi/varanasi-to-sarnath-taxi,all terms on page
varanasi me bike rent price,sales,4,32,12.5%,3.2,/bike-rentals-varanasi,all terms on page
kasi free tour 2026 tamil nadu timings,sales,6,29,20.7%,2.3,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,all terms on page
rental bike in varanasi price,sales,3,28,10.7%,3.6,/bike-rentals-varanasi,all terms on page
two wheeler rent in varanasi,sales,4,27,14.8%,3.1,/bike-rentals-varanasi,all terms on page
banaras bike rental,sales,4,22,18.2%,3.3,/bike-rentals-varanasi,slug (all terms)
