Country,Clicks,Impressions,CTR,Position
India,5615,1029543,0.55%,7.9
United States,38,9969,0.38%,6.99
United Arab Emirates,20,1937,1.03%,5.67
United Kingdom,18,1505,1.2%,7.04
Australia,13,1010,1.29%,5.4
Saudi Arabia,13,866,1.5%,8.22
Singapore,10,438,2.28%,5.24
Nepal,8,1828,0.44%,7.36
Germany,7,620,1.13%,6.73
Canada,5,705,0.71%,6.27
Japan,5,267,1.87%,5.73
Oman,5,188,2.66%,7.97
New Zealand,5,146,3.42%,5.9
Malaysia,4,585,0.68%,7.4
Spain,4,283,1.41%,9.53
Sweden,4,95,4.21%,5.99
Belgium,4,91,4.4%,5.75
Kuwait,3,318,0.94%,7.24
France,3,303,0.99%,9.83
Thailand,3,285,1.05%,10.33
Italy,3,231,1.3%,7.58
Netherlands,2,392,0.51%,6.14
Bangladesh,2,364,0.55%,11.14
Mauritius,2,271,0.74%,3.93
Qatar,2,247,0.81%,6.27
Brazil,2,209,0.96%,13.57
Sri Lanka,2,114,1.75%,6.04
Ireland,2,101,1.98%,5.22
Turkey,2,91,2.2%,14.78
Romania,2,51,3.92%,4.71
Nigeria,2,49,4.08%,6.73
Pakistan,1,243,0.41%,13.51
Philippines,1,208,0.48%,18.51
Russia,1,151,0.66%,11.69
South Africa,1,103,0.97%,6.08
Poland,1,80,1.25%,6.5
Iraq,1,55,1.82%,17.84
Colombia,1,49,2.04%,13.04
Denmark,1,45,2.22%,4.73
Czechia,1,36,2.78%,7.39
Myanmar (Burma),1,33,3.03%,5.06
Cyprus,1,16,6.25%,4.94
Sierra Leone,1,3,33.33%,4.67
Togo,1,2,50%,8.5
Vietnam,0,777,0%,20.7
Hong Kong,0,270,0%,6.73
Indonesia,0,235,0%,17.24
Mexico,0,154,0%,17.14
Morocco,0,147,0%,20.53
South Korea,0,107,0%,7.17
Bahrain,0,89,0%,4.88
Switzerland,0,89,0%,5.93
China,0,79,0%,5.99
Argentina,0,79,0%,10.67
Portugal,0,71,0%,7.2
Israel,0,67,0%,5.91
Algeria,0,67,0%,19.13
Ukraine,0,67,0%,20.31
Austria,0,55,0%,6.18
Greece,0,54,0%,6.48
Egypt,0,53,0%,18.17
Jordan,0,52,0%,19.08
Norway,0,46,0%,5.78
Taiwan,0,45,0%,5.38
Kenya,0,44,0%,6.75
Finland,0,35,0%,6.23
Bulgaria,0,30,0%,7.67
Bhutan,0,26,0%,5.77
Trinidad & Tobago,0,25,0%,6.8
Ghana,0,23,0%,6.61
Chile,0,23,0%,13
Maldives,0,22,0%,5.5
Croatia,0,22,0%,5.82
Hungary,0,22,0%,6.27
Ecuador,0,22,0%,15.14
Ethiopia,0,20,0%,10.35
Libya,0,19,0%,7.58
Peru,0,19,0%,12.79
Congo - Kinshasa,0,18,0%,5.78
Cambodia,0,18,0%,5.83
Somalia,0,17,0%,8.24
Slovakia,0,16,0%,5.88
Uganda,0,16,0%,7.69
Brunei,0,15,0%,8
Georgia,0,13,0%,7.23
Uruguay,0,13,0%,12.85
Iran,0,12,0%,5.5
Malta,0,12,0%,5.67
Latvia,0,12,0%,6.42
Tanzania,0,12,0%,7.5
Serbia,0,12,0%,7.75
Kyrgyzstan,0,12,0%,7.83
Paraguay,0,12,0%,14.25
Puerto Rico,0,11,0%,5.36
Luxembourg,0,10,0%,5
Slovenia,0,10,0%,5.9
Belarus,0,10,0%,6.6
Mongolia,0,10,0%,7
Kazakhstan,0,10,0%,11.4
Tunisia,0,10,0%,14.2
Iceland,0,9,0%,4.44
Bolivia,0,9,0%,6.22
Estonia,0,9,0%,7.44
Bosnia & Herzegovina,0,9,0%,8.44
Costa Rica,0,9,0%,9
Lithuania,0,9,0%,13.67
Syria,0,8,0%,9
Fiji,0,7,0%,4.71
Albania,0,7,0%,5.71
Côte d’Ivoire,0,7,0%,6.71
Lebanon,0,7,0%,8.57
Panama,0,7,0%,14.57
Suriname,0,6,0%,3.17
Moldova,0,6,0%,3.33
Curaçao,0,6,0%,5.17
Guyana,0,6,0%,6.33
Armenia,0,6,0%,6.5
Palestine,0,6,0%,8.17
Afghanistan,0,6,0%,8.5
Honduras,0,6,0%,12.5
Venezuela,0,6,0%,15.17
Jamaica,0,5,0%,5
Seychelles,0,5,0%,5.6
Kosovo,0,5,0%,5.8
Senegal,0,5,0%,8.6
Dominican Republic,0,5,0%,9.2
Uzbekistan,0,5,0%,10.4
Congo - Brazzaville,0,5,0%,12.8
Jersey,0,4,0%,4.25
Unknown Region,0,4,0%,5.75
Swaziland,0,4,0%,6.75
Gambia,0,4,0%,7
Mozambique,0,4,0%,7.75
Macedonia,0,4,0%,9.75
