impressions,clicks,position,query,suggested_page,token_overlap
3441,284,3.47,scooty rent in varanasi,,0
2594,1,7.96,varanasi to kashi distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-distance,2
2582,208,3.54,bike rent varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,1
1844,195,3.56,bike rent in varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,1
1629,2,7.53,bodhgaya to varanasi distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-distance,1
1429,1,8.62,varanasi to ayodhya distance by road,https://www.kashitaxi.in/en/varanasi-to-ayodhya,1
1368,1,9.18,ganga snan 2025,https://www.kashitaxi.in/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2025,3
1238,3,8.69,सूर्यास्त का समय आज का वाराणसी,,0
1169,5,2.73,banaras me kitne ghat h,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,1
990,1,9.97,varanasi to deoria distance,https://www.kashitaxi.in/en/varanasi-airport-to-deoria-distance,2
933,1,7.06,ganga snan 2025 date,https://www.kashitaxi.in/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2025,3
932,88,3.64,rent bike in varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,1
923,8,2.01,varanasi weather in february 2026,https://www.kashitaxi.in/en/varanasi-in-february-2026,2
884,16,2.5,morning ganga aarti timing in varanasi,https://www.kashitaxi.in/en/dashashwamedh-ghat-ganga-aarti-timing,3
866,3,6.29,manikarnika ghat in hindi,https://www.kashitaxi.in/en/manikarnika-ghat-sacred-cremation-grounds,2
845,1,7.08,varanasi temperature in february,https://www.kashitaxi.in/en/varanasi-in-february-2026,1
830,1,7.88,varanasi to ddu station distance by road,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-distance,2
788,14,5.11,scooty rent near me,https://www.kashitaxi.in/en/taxi-near-bhu,1
767,59,3.95,rental bike in varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,1
767,3,4.93,varanasi to vindhyachal mandir distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-distance,2
763,10,7.05,bike rental near me,https://www.kashitaxi.in/bike-rentals-varanasi,1
741,77,3.49,rental scooty in varanasi,,0
741,4,3.01,banaras mein kitne ghat hai,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,1
739,2,3.59,morning aarti in varanasi,https://www.kashitaxi.in/en/assi-ghat-morning-aarti-time,2
739,1,6.85,namo ghat varanasi distance,https://www.kashitaxi.in/en/varanasi-airport-to-namo-ghat-distance,3
736,2,3.12,varanasi me kitne ghat hai,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,1
714,4,6.16,vindhyachal mandir to varanasi distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-distance,2
708,8,2.44,varanasi to sarnath auto fare,https://www.kashitaxi.in/en/sarnath-timing-visit-guide,1
707,1,2.04,varanasi weather in april,https://www.kashitaxi.in/en/varanasi-in-april,1
697,77,3.47,rent scooty in varanasi,,0
692,10,2.5,best malaiyo shop in varanasi,https://www.kashitaxi.in/en/malaiyo-varanasi-guide,1
687,4,4.98,varanasi ganga aarti time morning,https://www.kashitaxi.in/en/assi-ghat-morning-aarti-time,3
678,2,3.74,temperature in varanasi in february 2026,https://www.kashitaxi.in/en/varanasi-in-february-2026,2
674,22,3.28,is varanasi safe for women,https://www.kashitaxi.in/en/is-varanasi-safe-for-solo-female-travellers,2
671,4,3.74,banaras me kitne ghat hai,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,1
670,39,3.68,rental bike varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,1
667,3,4.26,varanasi ganga aarti time today,https://www.kashitaxi.in/en/dashashwamedh-ghat-ganga-aarti-timing,2
652,30,1.97,sarnath mandir timing,https://www.kashitaxi.in/en/sarnath-timing-visit-guide,2
650,72,3.56,varanasi scooty rent,,0
633,15,1.63,assi ghat ganga aarti time,https://www.kashitaxi.in/en/assi-ghat-evening-aarti-time,4
633,2,3.79,varanasi junction to airport distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-varanasi-junction-distance,3
629,5,5.49,banaras outfits for women,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-distance,1
627,8,3.21,बनारस से विंध्याचल कितना किलोमीटर है,,0
624,2,2.53,84 ghat varanasi,https://www.kashitaxi.in/hi/city/varanasi/activities/84-ghat-naav-tour-varanasi,2
617,8,2.52,varanasi morning aarti time,https://www.kashitaxi.in/en/assi-ghat-morning-aarti-time,3
616,5,4.34,dashashwamedh ghat aarti timings,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,3
606,1,7.26,namo ghat distance from my location,https://www.kashitaxi.in/en/varanasi-airport-to-namo-ghat-distance,3
594,3,3.14,assi ghat aarti timings evening,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,4
592,7,4.76,aarti time at assi ghat,https://www.kashitaxi.in/en/assi-ghat-evening-aarti-time,4
576,2,8.96,varanasi railway station to kashi vishwanath temple auto fare,https://www.kashitaxi.in/en/city/varanasi/sightseeing/kashi-vishwanath-temple-ganga-aarti-spiritual-journey-2025,3
575,1,9.05,varanasi to taj mahal distance,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-distance,1
567,1,3.6,banaras outfit ideas for women,https://www.kashitaxi.in/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-distance,1
564,2,3.96,kashi me kitne ghat hai,https://www.kashitaxi.in/en/assi-ghat-aarti-timings-2025,1
555,61,3.52,bike rentals in varanasi,https://www.kashitaxi.in/bike-rentals-varanasi,2
