Keyword,Parameter Type,Sub-Category,Distance,Fare Range,Search Intent,Priority,Customer Value,Notes
Varanasi to Prayagraj taxi,Destination City,High Volume Routes (100-200 km),121 km,"₹1,700-₹3,500",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Allahabad cab,Destination City,High Volume Routes (100-200 km),121 km,"₹1,700-₹3,500",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Ayodhya taxi,Destination City,High Volume Routes (100-200 km),220 km,"₹2,475-₹4,500",Very High,High,High Revenue,Outstation route - High booking potential
Varanasi to Gaya cab,Destination City,High Volume Routes (100-200 km),255 km,"₹2,850-₹5,246",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Bodhgaya taxi,Destination City,High Volume Routes (100-200 km),255 km,"₹3,100-₹5,265",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Gorakhpur taxi,Destination City,Medium Volume Routes (200-400 km),211 km,"₹2,464-₹3,500",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Lucknow cab,Destination City,Medium Volume Routes (200-400 km),312 km,"₹3,352-₹4,500",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Chitrakoot taxi,Destination City,Medium Volume Routes (200-400 km),289 km,"₹4,999-₹5,195",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Patna cab,Destination City,Medium Volume Routes (200-400 km),300 km,"₹3,239-₹6,660",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Khajuraho taxi,Destination City,Medium Volume Routes (200-400 km),392 km,"₹5,840-₹8,453",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Agra taxi,Destination City,Long Distance Routes (400+ km),651 km,"₹7,900-₹13,581",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Kolkata cab,Destination City,Long Distance Routes (400+ km),684 km,"₹8,500-₹14,988",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Delhi taxi,Destination City,Long Distance Routes (400+ km),854 km,"₹6,544-₹14,935",High,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Jaipur cab,Destination City,Long Distance Routes (400+ km),893 km,"₹9,724-₹19,715",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Kathmandu taxi,Destination City,Long Distance Routes (400+ km),666 km,"₹12,500-₹26,500",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi to Nepal cab,Destination City,Long Distance Routes (400+ km),400-666 km,"₹12,500-₹32,000",Medium,Medium,High Revenue,Outstation route - High booking potential
Varanasi airport taxi,Service Type,Airport Transfer,Varies,"₹700-₹1,550",Very High,High,High Frequency,Service-specific targeting
Varanasi airport to city cab,Service Type,Airport Transfer,Varies,₹700-₹950,Very High,High,High Frequency,Service-specific targeting
LBS airport taxi Varanasi,Service Type,Airport Transfer,Varies,"₹700-₹1,250",High,Medium,High Frequency,Service-specific targeting
Varanasi airport pickup,Service Type,Airport Transfer,Varies,₹700-₹950,High,Medium,High Frequency,Service-specific targeting
Varanasi airport to Assi ghat taxi,Service Type,Airport Transfer,Varies,₹700-₹950,High,Medium,High Frequency,Service-specific targeting
